Status,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Age_at_enrollment,Curricular_units_2nd_sem_enrolled,Curricular_units_1st_sem_enrolled,Admission_grade,Curricular_units_2nd_sem_evaluations,Previous_qualification_grade,Curricular_units_2nd_sem_without_evaluations
1,5,14.857142857142858,4,13.75,18,5,5,161.9,8,151.0,0
1,6,13.0,5,12.4,18,6,6,135.9,7,132.0,0
1,6,12.0,6,13.333333333333334,18,6,6,110.1,6,116.0,0
0,8,12.0,11,11.727272727272728,28,8,11,122.5,8,120.0,0
0,1,14.0,4,12.5,19,6,6,138.1,11,158.0,0
0,0,0.0,0,0.0,20,0,0,117.3,0,116.0,0
1,7,13.614285714285714,6,13.533333333333331,19,8,7,106.8,9,112.0,0
1,6,12.666666666666666,6,13.166666666666666,20,6,6,120.1,6,126.0,0
1,5,11.0,5,13.2,19,6,6,116.5,8,120.0,0
1,7,14.857142857142858,7,13.428571428571429,19,7,7,139.7,7,153.0,0
1,6,12.625,6,12.714285714285714,18,6,6,123.7,8,124.0,0
0,0,0.0,0,0.0,19,6,6,116.5,0,127.0,0
1,6,13.666666666666666,6,13.666666666666666,19,6,6,122.2,9,126.0,0
1,6,13.166666666666666,5,11.0,20,6,6,146.0,6,133.1,0
1,5,12.0,4,12.0,18,5,5,123.8,6,130.0,0
0,0,0.0,0,0.0,18,6,6,120.0,0,127.0,0
1,6,11.666666666666666,5,11.0,18,6,6,126.9,6,143.0,0
0,6,11.571428571428571,5,12.0,20,6,6,121.3,8,130.0,0
1,8,12.55,7,13.308571428571428,19,8,7,129.0,10,136.0,0
0,3,10.666666666666666,3,13.666666666666666,21,6,6,114.9,7,125.0,0
0,0,0.0,0,0.0,20,6,6,106.5,9,110.0,0
1,4,11.25,5,12.2,18,6,6,133.9,8,130.0,0
1,6,12.833333333333334,6,12.666666666666666,20,6,6,124.9,6,135.0,0
1,8,14.07125,8,14.07125,19,8,8,128.5,8,133.0,0
0,5,13.2,4,14.25,22,5,5,126.2,9,122.0,4
0,0,0.0,0,0.0,22,2,6,121.7,2,122.0,2
1,5,11.6,2,13.0,19,6,6,120.3,8,128.0,0
0,0,0.0,0,0.0,19,0,0,127.8,0,139.0,0
0,7,14.901428571428571,7,14.901428571428571,20,8,8,123.3,8,124.0,1
1,8,12.445555555555554,7,12.65,18,8,7,126.3,9,135.0,0
0,5,10.6,7,11.0,22,5,12,128.2,5,110.0,0
1,5,12.666666666666666,4,12.4,20,5,5,134.9,9,138.0,0
1,6,12.666666666666666,6,12.0,19,6,6,140.0,7,140.0,0
1,7,13.328571428571427,7,12.135714285714286,19,8,7,115.5,10,126.0,0
1,7,14.051428571428572,6,13.766666666666666,19,8,7,136.6,10,145.0,0
1,8,13.11625,8,13.11625,19,8,8,119.3,8,124.0,0
0,0,0.0,0,0.0,19,6,5,152.0,0,160.0,0
1,7,13.571428571428571,6,12.7,20,8,7,144.3,8,138.0,0
1,6,12.333333333333334,6,12.333333333333334,20,7,7,129.5,7,127.0,0
1,5,13.2,5,13.333333333333334,20,5,5,105.4,6,111.0,0
1,8,13.49375,7,14.355555555555554,21,8,7,136.0,8,100.0,0
1,5,13.0,6,13.0,19,6,6,160.0,11,160.0,0
1,6,13.5,6,12.833333333333334,19,6,6,139.1,6,152.0,0
1,4,13.0,5,13.2,21,5,5,126.9,5,144.0,0
1,8,16.582222222222224,7,17.005555555555556,28,8,7,184.0,9,133.8,0
1,5,11.0,5,10.6,19,6,6,125.0,8,125.0,0
1,5,13.6,5,14.0,18,5,5,138.5,6,150.0,0
1,7,12.114285714285714,7,12.114285714285714,18,8,8,133.5,8,143.0,0
1,8,13.05875,8,13.05875,18,8,8,141.5,8,145.0,0
1,7,13.285714285714286,7,13.285714285714286,22,8,8,130.0,8,120.0,0
1,8,15.1625,7,14.071428571428571,18,8,7,145.0,8,145.0,0
0,0,0.0,0,0.0,20,6,6,114.3,0,122.0,0
0,3,11.0,4,11.25,26,10,9,108.3,12,110.0,0
1,6,13.625,6,14.0,18,6,6,125.2,8,136.0,0
0,3,11.666666666666666,6,12.166666666666666,21,6,6,131.7,11,145.0,0
1,7,13.297142857142855,7,13.297142857142855,18,8,8,126.3,8,141.0,0
1,6,14.25,6,13.923076923076923,20,6,6,147.6,9,149.0,0
1,7,12.833333333333334,7,13.37,18,8,7,125.1,13,130.0,0
0,4,13.75,4,15.0,20,5,5,130.8,5,128.0,0
1,6,12.571428571428571,6,13.333333333333334,18,6,6,154.1,7,152.0,0
1,5,12.2,5,13.4,22,6,6,103.5,9,107.0,0
1,5,11.4,4,11.5,21,5,5,100.0,5,141.0,0
1,7,13.485714285714284,7,13.485714285714284,18,8,8,133.8,8,148.0,0
1,6,11.285714285714286,6,12.0,18,6,6,118.5,8,130.0,0
0,0,0.0,0,0.0,19,0,0,150.3,0,145.0,0
1,7,13.258571428571427,7,13.258571428571427,19,8,8,120.5,11,135.0,0
0,1,10.0,3,11.666666666666666,19,6,6,120.6,15,123.0,0
1,6,12.5,6,13.571428571428571,21,6,6,118.7,6,126.0,0
1,5,11.833333333333334,5,11.8,20,6,6,130.8,9,150.0,0
1,5,13.285714285714286,5,14.2,20,5,5,112.6,7,121.0,0
1,5,11.8,5,11.0,41,5,5,117.2,6,133.1,1
1,7,14.652857142857142,7,14.652857142857142,18,8,8,131.8,8,139.0,0
1,6,11.333333333333334,6,11.333333333333334,35,6,6,97.0,6,160.0,0
0,0,0.0,4,13.7,32,7,7,130.0,7,110.0,0
1,8,14.75,11,13.727272727272728,37,8,11,148.0,8,140.0,0
0,7,11.142857142857142,7,11.75,30,8,7,103.4,12,130.0,0
1,5,13.0,6,12.333333333333334,23,6,6,127.1,11,132.0,0
0,6,13.857142857142858,6,14.0,20,6,6,124.0,7,139.0,0
1,4,11.75,4,11.5,21,5,5,121.4,6,135.0,0
1,5,13.2,5,11.2,19,5,5,118.1,5,117.0,0
1,7,15.07,7,15.07,18,8,8,121.3,8,137.0,0
0,1,12.0,1,10.0,18,5,5,119.5,7,144.0,0
1,4,12.6,4,13.0,22,6,6,130.2,11,140.0,0
0,3,11.25,4,11.0,18,6,6,130.0,7,130.0,0
1,5,12.166666666666666,6,13.571428571428571,18,6,6,126.9,11,130.0,0
1,5,14.2,5,14.6,21,6,6,168.5,6,152.0,0
0,2,10.0,3,11.833333333333334,38,7,7,130.0,14,133.1,0
1,8,12.5125,7,12.625,19,8,7,122.8,11,140.0,0
0,3,12.333333333333334,4,11.5,36,7,7,110.0,14,133.1,0
1,4,10.5,4,13.25,18,5,5,127.1,10,140.0,0
1,6,11.9,7,12.60625,19,8,7,108.5,12,133.1,0
0,5,13.2,8,13.75,21,9,10,138.2,17,140.0,0
1,6,12.285714285714286,5,11.142857142857142,18,6,6,124.5,8,135.0,0
0,1,11.0,1,10.0,20,5,5,132.3,10,140.0,0
1,4,11.5,6,11.666666666666666,18,6,6,120.7,10,128.0,0
1,6,13.142857142857142,6,14.0,18,6,6,132.6,7,141.0,0
0,0,0.0,0,0.0,25,5,5,140.0,9,140.0,3
1,7,12.04142857142857,7,12.04142857142857,19,8,8,124.5,9,139.0,0
1,0,0.0,0,0.0,18,0,0,142.0,0,142.0,0
1,12,14.583333333333334,13,13.76923076923077,39,12,13,130.0,16,130.0,0
1,13,15.307692307692308,18,15.444444444444445,29,13,18,144.0,13,130.0,0
0,0,0.0,2,10.0,23,6,3,140.0,0,140.0,0
0,3,10.333333333333334,4,12.25,21,6,6,113.9,13,120.0,0
1,6,15.166666666666666,6,14.5,18,6,6,137.2,6,147.0,0
1,6,16.375,6,15.571428571428571,23,6,6,140.0,8,140.0,0
1,6,14.714285714285714,6,15.571428571428571,18,6,6,152.3,7,161.0,0
1,6,12.166666666666666,5,13.8,32,6,6,112.5,7,133.1,0
0,2,14.8,3,10.666666666666666,29,5,5,101.0,14,150.0,0
1,4,11.75,5,11.6,20,6,6,112.3,8,113.0,0
0,0,0.0,1,13.0,28,6,6,114.0,12,140.0,0
1,4,13.625,3,12.0,27,5,5,130.0,11,130.0,0
1,12,12.333333333333334,12,12.333333333333334,22,14,14,121.5,14,120.0,2
0,0,0.0,1,11.0,28,6,6,130.0,0,130.0,0
0,4,10.5,4,12.25,43,6,6,125.7,13,120.0,0
0,0,0.0,0,0.0,32,8,7,128.0,8,140.0,7
1,8,13.63,8,13.63,35,8,8,120.0,9,133.1,1
1,4,11.5,3,13.0,21,5,5,117.8,7,130.0,1
1,8,16.37777777777778,7,16.9,18,8,7,169.7,9,176.0,0
1,4,12.0,5,12.0,18,6,6,117.7,11,124.0,0
1,6,13.285714285714286,6,12.5,22,6,6,121.8,7,120.0,0
1,7,12.764285714285714,7,12.764285714285714,19,8,8,128.3,8,140.0,0
1,5,12.166666666666666,5,13.75,18,5,5,132.2,6,143.0,0
0,0,0.0,0,0.0,19,0,0,134.3,0,136.0,0
1,8,15.68333333333333,7,14.604285714285712,18,8,7,123.4,9,132.0,0
0,0,0.0,0,0.0,31,5,5,121.7,7,133.1,0
1,6,12.5,5,13.833333333333334,33,6,6,130.0,7,100.0,0
1,8,13.57625,8,13.57625,19,8,8,126.5,8,137.0,0
1,6,15.833333333333334,6,15.142857142857142,18,6,6,159.7,6,153.0,0
1,5,11.6,3,10.666666666666666,23,5,5,151.3,8,160.0,0
1,6,12.0,5,11.2,20,6,6,138.0,6,145.0,0
1,8,13.76375,8,13.76375,18,8,8,126.5,8,137.0,0
1,5,12.2,5,10.714285714285714,22,6,6,112.3,10,120.0,0
1,6,11.666666666666666,6,12.166666666666666,20,6,6,127.3,7,122.0,0
1,6,14.357142857142858,6,14.357142857142858,23,7,7,130.0,8,130.0,0
1,6,12.666666666666666,6,12.833333333333334,19,6,6,115.0,6,133.1,0
1,7,13.925714285714283,7,13.925714285714283,19,8,8,131.5,8,150.0,0
0,3,11.0,2,12.0,26,5,5,125.7,9,133.1,0
1,8,13.744444444444444,7,13.44285714285714,18,8,7,126.8,9,141.0,0
0,0,0.0,1,16.0,18,5,5,132.4,5,146.0,0
1,6,13.2,6,13.125,20,6,6,150.0,10,150.0,0
0,0,0.0,0,0.0,19,6,6,95.0,6,133.1,0
0,4,11.0,5,11.4,32,4,9,128.2,4,120.0,0
0,3,11.666666666666666,2,11.0,31,5,4,130.0,9,150.0,0
1,5,13.0,5,13.666666666666666,21,6,6,159.9,10,140.0,0
0,1,10.0,4,11.75,31,5,6,100.0,6,140.0,0
0,1,13.0,1,10.0,34,7,7,116.5,7,133.1,0
1,6,12.833333333333334,6,13.5,18,6,6,120.0,9,128.0,0
0,0,0.0,0,0.0,19,6,6,117.0,0,117.0,0
0,5,11.8,3,13.0,18,6,6,118.1,10,124.0,0
1,6,16.0,6,14.833333333333334,20,6,6,153.5,6,158.0,0
1,6,12.857142857142858,6,11.833333333333334,20,6,6,127.9,7,137.0,0
1,5,12.333333333333334,5,12.0,18,6,6,118.8,11,123.0,0
1,6,11.333333333333334,4,12.75,19,6,6,126.7,7,126.0,0
0,1,10.0,0,0.0,30,6,6,110.0,16,133.1,0
1,6,12.857142857142858,6,12.0,19,6,6,115.0,7,115.0,0
1,8,13.8,7,11.677777777777775,19,8,7,119.0,8,132.0,0
1,7,13.6,7,13.6,19,8,8,121.8,8,132.0,0
1,6,15.875,6,16.0,19,6,6,133.4,8,143.0,0
1,6,11.5,5,11.8,20,6,6,131.4,7,137.0,0
0,2,14.0,0,0.0,25,6,5,135.0,7,130.0,0
0,0,0.0,0,0.0,19,6,6,122.8,0,121.0,0
1,6,16.2,6,16.142857142857142,34,6,6,140.0,10,130.0,0
1,7,11.785714285714286,7,11.785714285714286,18,8,8,125.3,8,135.0,0
1,8,13.42375,8,13.42375,18,8,8,126.3,8,137.0,0
1,5,14.166666666666666,6,12.5,20,6,6,100.0,10,100.0,0
1,7,12.464285714285714,7,12.464285714285714,20,8,8,121.3,8,127.0,0
0,0,0.0,1,10.0,28,6,6,120.0,9,140.0,0
1,4,12.4,5,12.6,19,5,5,129.7,6,131.0,0
0,4,12.0,2,10.0,34,5,5,132.1,6,151.0,0
0,0,0.0,0,0.0,35,6,7,120.3,0,130.0,0
1,5,12.333333333333334,5,11.6,32,5,5,120.0,8,120.0,0
1,6,13.5,6,12.166666666666666,19,6,6,123.1,6,136.0,0
1,5,12.666666666666666,4,13.6,18,6,6,119.4,7,125.0,0
0,5,11.8,4,12.5,35,5,5,140.0,8,133.1,0
1,6,12.625,6,11.714285714285714,20,6,6,113.0,8,120.0,0
1,6,13.0,6,13.5,18,6,6,133.9,7,143.0,0
1,7,13.024285714285714,7,13.024285714285714,20,8,8,115.5,8,133.1,0
0,0,0.0,0,0.0,18,6,6,116.5,0,121.0,0
1,5,18.571428571428573,5,17.333333333333332,18,5,5,171.2,8,168.0,0
1,4,11.5,4,11.0,20,5,5,119.1,7,124.0,0
0,6,12.5,6,13.666666666666666,19,7,7,121.1,9,127.0,0
1,6,11.833333333333334,6,12.833333333333334,19,6,6,132.8,8,137.0,0
1,4,11.5,5,12.6,20,6,6,126.7,11,120.0,0
1,7,13.771428571428572,6,14.333333333333334,22,8,7,105.8,9,110.0,0
1,7,14.285714285714286,7,14.285714285714286,19,8,8,140.0,8,143.0,0
0,2,10.0,3,11.75,22,6,6,120.0,12,120.0,0
1,5,17.6,5,14.8,20,5,5,119.5,5,124.0,0
0,0,0.0,0,0.0,34,6,6,153.9,0,168.0,0
0,0,0.0,1,10.0,24,5,6,130.0,5,133.1,0
0,0,0.0,0,0.0,26,5,5,107.0,5,150.0,0
0,5,12.38,4,12.6,35,7,7,132.8,9,140.0,0
1,5,11.8,5,12.428571428571429,22,5,5,127.5,7,145.0,0
0,0,0.0,3,12.333333333333334,19,5,5,122.0,5,123.0,0
0,0,0.0,0,0.0,19,6,6,114.8,0,120.0,0
1,0,0.0,0,0.0,20,0,0,140.0,0,140.0,0
1,8,13.333333333333334,10,12.1,21,8,11,111.0,9,126.0,0
1,6,15.0,6,14.714285714285714,19,6,6,133.2,6,137.0,0
1,6,12.833333333333334,6,12.666666666666666,18,6,6,123.0,7,130.0,0
1,10,13.3,12,14.384615384615383,23,10,12,150.0,12,150.0,0
1,5,12.2,5,13.4,18,5,5,132.3,6,147.0,0
1,7,13.314285714285717,7,13.314285714285717,18,8,8,126.0,8,140.0,0
1,7,11.98857142857143,7,11.98857142857143,19,8,8,119.3,8,132.0,0
1,8,12.88888888888889,11,11.545454545454543,21,9,11,133.8,13,130.0,0
1,6,13.875,6,16.46153846153846,18,6,6,126.5,8,130.0,0
1,6,12.833333333333334,6,13.666666666666666,24,6,6,138.4,6,151.0,0
0,8,13.411111111111111,7,12.65,18,8,7,129.0,9,144.0,0
1,7,14.65,6,14.37,20,8,7,129.8,10,131.0,0
0,3,10.666666666666666,3,12.0,18,6,6,128.3,15,130.0,0
0,3,11.0,4,12.0,19,6,6,130.0,14,130.0,0
1,5,11.2,5,12.6,19,6,6,121.9,7,131.0,0
1,6,12.333333333333334,6,12.166666666666666,18,6,6,129.4,6,135.0,0
1,8,13.76375,8,13.76375,18,8,8,125.5,8,145.0,0
1,6,12.8,6,12.4,19,7,7,117.8,8,118.0,0
1,6,14.333333333333334,6,14.333333333333334,18,7,7,139.0,7,152.0,0
0,0,0.0,1,10.0,19,6,6,137.7,13,137.0,0
1,8,14.622222222222224,7,14.69625,21,8,7,113.6,9,123.0,0
1,8,13.9125,7,12.855555555555556,18,8,7,128.5,8,131.0,0
1,8,13.994444444444444,7,13.7,18,8,7,142.8,9,141.0,0
0,1,12.0,0,0.0,23,5,5,137.7,10,144.0,3
1,8,13.333333333333334,7,13.285714285714286,18,8,7,123.2,9,133.0,0
0,5,11.0,5,11.5,21,6,6,120.0,13,120.0,1
1,7,11.4,7,11.4,19,8,8,119.3,8,130.0,0
1,6,11.333333333333334,6,12.333333333333334,21,6,6,121.0,8,120.0,0
1,4,12.2,5,12.8,18,6,6,139.4,10,138.0,0
1,4,15.0,5,12.0,20,5,5,113.9,8,124.0,1
1,5,13.5,5,13.0,18,6,6,124.6,9,133.0,0
0,6,11.0,6,11.833333333333334,18,6,6,123.8,8,122.0,0
1,6,13.333333333333334,6,14.0,18,6,6,126.3,9,138.0,0
1,6,13.5,6,12.333333333333334,18,6,6,120.4,6,134.0,0
1,6,12.833333333333334,6,12.5,24,6,6,139.9,11,133.1,0
1,0,0.0,0,0.0,19,0,0,133.3,0,142.0,0
1,7,15.657142857142857,7,15.657142857142857,18,8,8,126.0,8,141.0,0
1,6,11.333333333333334,6,12.166666666666666,19,6,6,133.5,6,145.0,0
0,0,0.0,0,0.0,19,6,6,127.9,0,145.0,0
0,0,0.0,4,11.75,26,6,6,102.5,12,140.0,0
0,0,0.0,0,0.0,36,5,5,97.0,5,133.1,0
0,0,0.0,0,0.0,19,0,0,134.7,0,128.0,0
0,0,0.0,0,0.0,27,5,5,113.8,0,120.0,0
0,0,0.0,1,13.0,18,5,5,116.9,5,120.0,0
1,7,13.331428571428573,7,13.331428571428573,18,8,8,124.0,8,139.0,0
0,0,0.0,0,0.0,28,6,6,117.5,0,139.3,0
1,0,0.0,0,0.0,21,0,0,154.8,0,150.0,0
1,6,13.7,6,13.7,19,7,7,141.0,7,138.0,0
0,0,0.0,0,0.0,26,5,5,120.0,5,133.1,5
0,6,13.875,9,13.454545454545457,20,7,9,133.6,9,136.0,0
1,7,12.2,7,12.2,19,8,8,122.0,8,134.0,0
0,4,11.0,3,10.0,21,5,5,120.0,10,140.0,0
1,6,12.857142857142858,5,13.0,23,6,6,114.2,7,110.0,0
1,6,14.0,6,12.0,29,6,6,95.5,6,133.1,0
1,7,15.028571428571428,7,15.028571428571428,20,8,8,120.0,8,129.0,0
1,6,11.714285714285714,6,12.0,18,6,6,111.1,7,116.0,0
1,5,12.4,5,12.0,19,6,6,128.6,8,130.0,0
0,3,11.333333333333334,3,13.666666666666666,23,8,7,130.0,8,130.0,4
0,0,0.0,0,0.0,21,0,0,111.1,0,116.0,0
1,0,0.0,0,0.0,18,0,0,134.4,0,147.0,0
0,0,0.0,1,14.0,21,6,6,131.0,7,117.0,7
0,0,0.0,0,0.0,22,6,6,125.0,7,141.0,0
1,5,12.583333333333334,7,12.375,21,7,7,106.0,11,133.1,0
0,0,0.0,0,0.0,32,8,7,128.0,0,133.1,0
1,13,11.076923076923077,18,11.421052631578949,27,13,18,120.0,16,120.0,1
1,6,13.35,6,13.35,18,7,7,134.8,7,148.0,0
1,2,16.0,6,15.0,24,6,6,112.0,6,130.0,0
0,0,0.0,2,10.5,22,5,5,116.1,5,120.0,0
0,0,0.0,0,0.0,22,4,6,120.0,6,120.0,2
1,5,11.833333333333334,5,13.25,19,5,5,119.7,6,133.0,0
0,0,0.0,0,0.0,19,5,5,117.1,5,129.0,0
1,8,13.88125,8,13.88125,18,8,8,131.0,8,140.0,0
1,5,12.6,6,11.333333333333334,18,6,6,130.9,8,127.0,0
0,0,0.0,0,0.0,20,0,0,134.9,0,131.0,0
1,6,13.666666666666666,6,12.857142857142858,19,6,6,127.1,7,132.0,0
1,6,12.5,5,11.6,19,6,6,110.2,6,113.0,0
1,6,11.333333333333334,5,11.4,18,6,6,108.7,6,115.0,0
1,9,13.77777777777778,7,13.571428571428571,22,9,7,147.7,9,150.0,0
1,7,12.228571428571428,6,11.833333333333334,31,7,7,123.0,8,133.1,0
1,7,14.142857142857142,7,14.428571428571429,19,7,7,142.8,7,141.0,0
1,5,12.4,6,12.285714285714286,18,6,6,125.2,9,136.0,0
1,5,13.8,5,14.4,21,5,5,141.8,5,140.0,0
1,8,15.06875,7,13.15,18,8,7,130.6,9,143.0,0
0,0,0.0,0,0.0,25,5,5,130.0,5,130.0,0
0,0,0.0,0,0.0,21,6,5,100.0,8,133.1,0
1,7,12.342857142857143,7,12.342857142857143,19,8,8,119.0,8,129.0,0
0,1,11.0,4,10.5,22,6,6,122.2,14,118.0,0
1,5,11.6,5,10.6,19,5,5,150.0,8,150.0,0
0,0,0.0,0,0.0,58,6,6,135.5,6,133.1,0
1,6,12.0,4,11.25,19,6,6,127.3,6,122.0,0
1,10,11.7,6,10.5,23,10,9,127.0,10,127.0,0
1,8,14.5125,7,13.457142857142856,18,8,7,127.5,8,131.0,0
1,4,12.333333333333334,5,12.6,20,5,5,122.0,8,130.0,0
0,0,0.0,0,0.0,18,6,6,115.8,0,130.0,0
1,5,13.6,6,13.666666666666666,18,6,6,121.6,8,130.0,0
1,5,11.8,5,11.6,18,5,5,116.4,5,122.0,0
0,5,12.833333333333334,6,12.571428571428571,24,6,6,120.0,10,114.0,0
0,5,11.4,5,11.8,18,6,6,127.3,7,143.0,0
1,6,11.833333333333334,6,11.333333333333334,19,6,6,125.6,6,141.0,0
1,6,11.5,6,10.666666666666666,18,6,6,118.5,6,129.0,0
1,0,0.0,0,0.0,19,0,0,134.6,0,137.0,0
1,4,11.5,6,13.333333333333334,22,6,6,140.0,9,140.0,0
1,6,12.833333333333334,5,13.0,21,6,6,117.9,7,120.0,0
1,7,12.90857142857143,7,12.90857142857143,18,8,8,128.0,11,144.0,0
0,1,10.0,4,12.0,20,6,6,113.2,11,123.0,0
1,6,15.833333333333334,6,15.333333333333334,19,6,6,156.9,9,152.0,0
0,2,14.0,6,13.0,26,6,7,100.0,6,133.1,0
1,6,12.166666666666666,6,12.5,35,6,6,101.0,6,140.0,0
1,6,14.333333333333334,6,13.0,19,6,6,121.5,6,133.0,0
1,5,12.571428571428571,4,11.75,18,5,5,126.8,10,138.0,1
1,4,14.25,4,12.5,19,5,5,132.9,5,142.0,0
1,17,12.055555555555555,17,11.61111111111111,25,17,17,134.3,22,115.0,0
1,6,14.666666666666666,6,14.0,18,6,6,120.5,6,125.0,0
0,0,0.0,0,0.0,26,6,6,144.1,10,170.0,0
1,5,13.833333333333334,5,13.8,34,5,5,100.0,6,140.0,0
0,0,0.0,0,0.0,18,5,5,114.8,5,110.0,0
0,0,0.0,0,0.0,18,0,0,111.9,0,114.0,0
0,3,12.333333333333334,4,12.25,18,5,5,125.4,9,138.0,0
0,3,13.666666666666666,3,11.5,20,6,6,140.0,12,140.0,0
1,9,12.555555555555555,6,12.571428571428571,25,9,7,140.0,9,140.0,0
0,5,12.166666666666666,6,12.0,18,6,6,127.8,10,132.0,0
1,12,12.307692307692308,11,12.0,19,12,12,131.6,21,148.0,0
0,0,0.0,0,0.0,20,0,0,119.4,0,132.0,0
1,6,11.166666666666666,6,12.0,20,6,7,129.9,6,126.0,0
0,0,0.0,0,0.0,19,5,5,113.4,5,120.0,0
0,0,0.0,0,0.0,20,5,5,112.0,0,119.0,0
0,4,12.5,4,10.5,24,6,6,140.0,16,120.0,0
1,6,12.3,5,12.857142857142858,20,6,6,150.0,11,150.0,0
0,1,10.0,2,13.0,23,5,5,150.0,11,140.0,0
1,8,12.75,11,12.454545454545457,21,11,11,116.2,17,116.0,0
0,0,0.0,3,11.0,20,5,5,120.4,6,120.0,0
1,6,14.166666666666666,6,15.5,18,6,6,155.0,6,170.0,0
1,6,13.666666666666666,6,12.333333333333334,18,6,6,123.4,6,123.0,0
1,6,12.285714285714286,6,11.333333333333334,18,6,6,126.2,8,130.0,0
0,0,0.0,0,0.0,19,6,6,120.5,0,117.0,0
1,5,12.6,4,12.0,19,5,5,122.5,9,130.0,0
0,2,11.5,2,12.5,33,5,5,139.2,9,133.0,1
1,11,13.0,12,13.666666666666666,21,11,12,131.2,16,128.0,0
0,0,0.0,2,14.5,25,6,6,120.0,13,133.1,1
0,0,0.0,4,13.2,20,6,6,116.7,8,123.0,0
0,5,14.8,5,12.166666666666666,22,8,7,150.0,14,150.0,0
1,6,11.333333333333334,4,11.25,39,6,6,117.5,6,133.1,0
1,6,14.428571428571429,6,15.166666666666666,21,6,6,137.6,7,140.0,0
1,4,13.4,6,11.166666666666666,19,6,6,124.3,7,126.0,0
1,6,10.983333333333334,6,10.983333333333334,26,7,7,116.0,8,133.1,0
1,5,11.5,4,10.75,19,6,6,121.4,11,121.0,0
1,7,14.285714285714286,11,13.384615384615383,20,9,12,142.8,13,140.0,0
0,0,0.0,0,0.0,24,6,6,125.0,6,131.0,0
1,5,14.833333333333334,4,13.0,20,5,5,126.1,9,124.0,3
1,6,13.5,6,16.11111111111111,29,6,6,155.8,7,120.0,0
1,6,11.0,6,11.5,20,6,6,116.0,8,133.1,0
0,2,10.5,4,10.75,20,6,6,110.0,12,110.0,0
1,5,13.0,4,11.6,24,6,6,97.2,8,133.1,0
0,0,0.0,0,0.0,24,7,7,100.0,7,133.1,0
1,5,14.142857142857142,5,13.8,23,5,5,140.0,7,140.0,0
1,8,14.6875,7,13.585714285714284,20,8,7,128.0,8,130.0,0
1,5,13.0,6,13.857142857142858,19,6,6,115.3,8,110.0,0
1,5,12.6,6,13.444444444444445,20,6,6,160.0,9,160.0,0
1,6,13.857142857142858,6,14.0,18,6,6,133.1,7,138.0,0
0,0,0.0,1,12.0,20,6,6,119.0,0,126.0,0
1,5,13.833333333333334,5,14.2,33,5,5,156.0,6,120.0,0
0,3,12.0,3,11.0,19,6,6,123.1,12,122.0,0
1,0,0.0,0,0.0,19,0,0,136.1,0,134.0,0
1,12,13.0,13,14.0,22,12,13,132.7,13,134.0,0
0,0,0.0,0,0.0,39,8,7,128.2,0,140.0,0
0,0,0.0,0,0.0,22,6,1,126.7,0,127.0,0
1,0,0.0,0,0.0,19,0,0,156.3,0,143.0,0
1,6,14.333333333333334,6,13.5,19,6,6,116.1,6,115.0,0
0,0,0.0,0,0.0,19,8,7,123.8,0,131.0,0
1,17,14.88888888888889,17,13.38888888888889,21,17,17,153.0,18,146.0,0
0,0,0.0,0,0.0,39,8,7,140.0,0,140.0,0
1,11,13.583333333333334,12,13.583333333333334,19,11,12,131.9,12,135.0,0
0,0,0.0,0,0.0,24,5,5,140.0,5,133.1,0
0,0,0.0,1,10.0,27,5,5,115.0,5,120.0,0
1,5,15.2,5,15.2,29,5,5,168.0,5,133.1,0
0,0,0.0,4,12.8,20,6,6,101.3,17,130.0,0
0,4,11.0,5,11.166666666666666,21,5,5,122.6,5,125.0,0
1,7,12.828571428571427,7,12.828571428571427,19,8,8,132.3,9,151.0,0
0,4,12.6,6,12.5,19,6,6,111.7,10,112.0,0
1,3,12.4,3,10.0,28,5,5,98.7,10,120.0,0
1,4,13.25,6,11.5,21,6,6,140.0,10,140.0,0
0,7,11.328571428571427,7,11.328571428571427,23,8,8,140.0,11,140.0,0
1,6,13.033333333333331,6,13.033333333333331,18,7,7,133.8,7,143.0,0
1,4,11.75,6,12.166666666666666,59,6,6,100.0,7,133.1,0
1,5,13.6,5,14.4,18,5,5,130.8,5,136.0,0
0,0,0.0,0,0.0,27,7,7,106.2,14,130.0,0
1,6,12.0,6,12.666666666666666,18,6,6,125.6,6,141.0,0
0,3,11.666666666666666,2,12.0,20,6,6,117.5,14,121.0,0
0,0,0.0,0,0.0,32,5,5,122.5,5,120.0,0
0,4,10.8,3,11.666666666666666,19,5,5,132.9,10,129.0,0
0,0,0.0,0,0.0,41,6,6,103.0,0,133.1,0
0,0,0.0,1,10.0,38,5,5,107.0,10,100.0,0
0,0,0.0,0,0.0,35,6,7,100.0,9,133.1,0
0,3,12.0,4,12.25,27,6,6,100.0,16,133.1,0
1,6,12.5,4,12.0,19,6,6,131.3,6,139.0,0
0,0,0.0,0,0.0,39,5,5,118.4,5,133.1,0
0,0,0.0,0,0.0,37,5,5,100.0,10,100.0,0
0,0,0.0,0,0.0,37,8,8,110.0,8,110.0,1
1,13,12.0,16,12.6875,35,13,16,100.0,13,133.1,0
1,6,10.666666666666666,10,10.4,49,9,13,106.2,18,123.0,0
1,12,10.923076923076923,14,10.466666666666669,52,12,15,110.0,16,110.0,0
